Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. FALCON,MP. SUCRE,PQ. PECAYA,ESCUELA BOLIVARIANA TOROY NER 266,N/A,280,190,190,190,0,N/A,1,0,0,0,0,10,180
EDO. FALCON,MP. SUCRE,PQ. PECAYA,ESCUELA BOLIVARIANA QUEBRADA HONDA,N/A,76,68,68,68,0,N/A,1,0,0,0,0,0,68
EDO. FALCON,MP. SUCRE,PQ. PECAYA,ESCUELA BASICA NICOLAS CURIEL COUTINHO,N/A,765,540,540,535,5,N/A,2,0,0,0,0,158,377
EDO. FALCON,MP. SUCRE,PQ. PECAYA,ESCUELA BOLIVARIANA LAS VERAS NER 266,N/A,294,243,243,242,1,N/A,1,0,0,1,1,17,223
EDO. FALCON,MP. SUCRE,PQ. PECAYA,ESCUELA BASICA UNITARIA GUASIQUI NER 266,N/A,278,189,189,187,2,N/A,1,0,0,0,1,26,160
EDO. FALCON,MP. SUCRE,PQ. SUCRE,ESCUELA BOLIVARIANA MACUARE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDO. FALCON,MP. SUCRE,PQ. SUCRE,ESCUELA BOLIVARIANA EL RIO,N/A,154,125,125,124,1,N/A,1,0,0,0,1,23,100
EDO. FALCON,MP. SUCRE,PQ. SUCRE,UNIDAD EDUCATIVA ANGEL MIGUEL QUEREMEL,N/A,1172,894,894,884,10,N/A,2,0,0,0,3,240,641
EDO. FALCON,MP. SUCRE,PQ. SUCRE,ESCUELA BASICA UNITARIA NER Nº 965.JUNCALITO,N/A,176,119,119,118,1,N/A,1,0,0,0,1,12,105
EDO. FALCON,MP. SUCRE,PQ. SUCRE,ESCUELA ESTADAL UNITARIA LA GOYA NER 263,N/A,72,60,60,59,1,N/A,1,0,0,0,0,14,45
EDO. FALCON,MP. SUCRE,PQ. SUCRE,ESCUELA BÁSICA BOLIVARIANA  EL HORCÓN,N/A,277,241,241,238,3,N/A,1,0,0,0,1,124,113
EDO. FALCON,MP. SUCRE,PQ. SUCRE,ESCUELA NACIONAL PALO PINTAO,N/A,378,317,317,313,4,N/A,1,0,0,0,0,39,274
EDO. FALCON,MP. SUCRE,PQ. SUCRE,ESCUELA BASICA BOLIVARIANA FELIX VALOIS LEAL,N/A,1644,1297,1297,1280,17,N/A,3,1,0,2,10,359,908
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BÁSICA ISOLINA DE GÓMEZ CASTRO,N/A,1262,981,981,969,12,N/A,3,0,0,0,8,235,726
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BOLIVARIANA GUACUIRA ARRIBA,N/A,290,269,269,264,5,N/A,1,0,0,0,1,49,214
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BASICA LOS POZOS,N/A,292,243,243,240,3,N/A,1,0,0,0,4,99,137
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BÁSICA BOLIVARIANA JUAN DE DIOS MONZÓN,N/A,1981,1628,1628,1601,27,N/A,4,0,1,0,12,673,915
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BASICA ESTADAL CAYERUA,N/A,397,316,316,312,4,N/A,1,0,0,0,2,87,223
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,UNIDAD EDUCATIVA HECTOR M. PEÑA,N/A,1581,1266,1266,1243,23,N/A,3,0,0,0,10,561,672
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BÁSICA AZARO BUENA VARA,N/A,887,677,677,662,15,N/A,2,0,0,0,3,192,467
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BASICA BOLIVARIANA LA CIENAGA,N/A,266,246,246,244,2,N/A,1,0,0,0,1,99,144
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BÁSICA CERRO PELÓN,N/A,594,478,478,470,8,N/A,1,1,0,0,2,103,364
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BOLIVARIANA EL PIZARRAL,N/A,192,178,178,176,2,N/A,1,0,0,0,1,30,145
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BÁSICA BOLIVARIANA COTO PAUL,N/A,3234,2640,2640,2591,49,N/A,6,0,0,2,11,1178,1400
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA NACIONAL SANTA CRUZ,N/A,580,421,421,407,14,N/A,1,0,0,1,3,152,251
EDO. FALCON,MP. FALCON,PQ. PUEBLO NUEVO,ESCUELA BASICA ESTADAL GUACUIRA ABAJO,N/A,481,387,387,377,10,N/A,1,1,0,1,3,99,273
EDO. FALCON,MP. FALCON,PQ. ADAURE,ESCUELA BASICA ADAURE,N/A,1447,1135,1135,1114,21,N/A,3,0,0,0,9,432,673
