Estado,Municipio,Parroquia,Centro,Número de Electores Esperados.,Número de Electores escrutados.,Número de Votos Escrutados.,Número Total de Votantes que votaron realmente.,Número total de Votos Válidos.,Número total de Votos Nulos.,Número de Actas Esperadas.,Número de Actas Procesadas.,ORLANDO CHIRINO,MARIA BOLIVAR,LUIS REYES,REINA SEQUERA,HENRIQUE CAPRILES RADONSKI,HUGO CHAVEZ
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA PRIMARIA UNITARIA CHAPARRAL,N/A,108,105,105,103,2,N/A,1,0,0,0,0,14,89
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA ESTADAL LA VILLEGUERA,N/A,252,223,223,216,7,N/A,1,0,0,0,0,29,187
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA BOLIVARIANA CREACIÒN  TINACO,N/A,2118,1763,1763,1698,65,N/A,4,0,2,1,13,513,1169
EDO. COJEDES,MP. TINACO,PQ. GRL/JEFE JOSE L SILVA,ESCUELA  BASICA  CARLOS QUINTERO ALEGRIA,N/A,2128,1702,1702,1656,46,N/A,4,0,0,4,12,464,1176
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. MANUEL MANRIQUE,ESCUELA UNITARIA NUMERO 101,N/A,499,397,397,387,10,N/A,1,0,0,1,1,92,293
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. MANUEL MANRIQUE,GRUPO ESCOLAR COAHERI,N/A,2111,1750,1750,1704,46,N/A,4,0,1,1,10,700,992
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. MANUEL MANRIQUE,ESCUELA ESTADAL CONCENTRADA MACANILLA,N/A,232,178,178,175,3,N/A,1,1,0,0,1,47,126
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. MANUEL MANRIQUE,ESCUELA CONCENTRADA CARIAQUITO,N/A,181,170,170,168,2,N/A,1,0,1,0,0,40,127
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA  ESTADAL PARAGUITO,N/A,139,95,95,89,6,N/A,1,0,0,0,1,30,58
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA BOLIVARIANA CAMPO ALEGRE,N/A,126,116,116,116,0,N/A,1,0,0,0,0,23,93
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA CONCENTRADA ESCOLAR LA SIERRA,N/A,533,425,425,421,4,N/A,1,0,0,0,3,132,286
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA ESTADAL UNITARIA LA FLORIDA,N/A,96,76,76,75,1,N/A,1,0,0,0,0,16,59
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA ESTADAL UNITARIA  NUCLEO 322,N/A,79,72,72,71,1,N/A,1,0,0,0,0,6,65
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. JUAN ANGEL BRAVO,ESCUELA ESTADAL LAS TUCURAGUAS 114,N/A,170,129,129,127,2,N/A,1,0,0,0,2,49,76
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA ESTADAL UNITARIA TIO AGUSTIN,N/A,177,78,78,75,3,N/A,1,0,0,0,0,4,71
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL BOLIVARIANO ALEJANDRO FEBRES,N/A,340,305,305,298,7,N/A,1,0,1,0,1,61,235
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA BOLIVARIANA ANDRES ELOY BLANCO,N/A,2719,2217,2217,2160,57,N/A,5,1,0,6,17,779,1357
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA RAMON ANTONIO VILLEGAS,N/A,802,682,682,669,13,N/A,2,1,0,1,3,157,507
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA ESTADAL UNITARIA NUMERO 102,N/A,246,213,213,208,5,N/A,1,0,0,0,1,8,199
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACIÒN INICIAL EL PAUJIL,N/A,895,741,741,724,17,N/A,2,1,1,0,2,389,331
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA MARITZA MENA DE PEREZ,N/A,522,459,459,445,14,N/A,1,0,0,0,2,171,272
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL SIMONCITO LA MEDINERA,N/A,369,337,337,329,8,N/A,1,0,0,0,1,103,225
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA EMILIO GERONIMO GOMEZ,N/A,1412,1156,1156,1142,14,N/A,3,0,0,2,8,213,919
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL BOLIVARIANO LYA IMBER DE CORONIL,N/A,78,71,71,67,4,N/A,1,0,0,0,1,18,48
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  BASICA BOLIVARIANA CARLOS VILORIO,N/A,3916,3233,3233,3188,45,N/A,7,0,4,1,33,1864,1286
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  GRADUADA  MARIA CLEMENCIA DE GUERRA,N/A,1126,938,938,910,28,N/A,2,2,1,0,3,307,597
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  BASICA ALEJANDRO FEBRES,N/A,2482,1915,1915,1841,74,N/A,5,1,0,1,10,732,1097
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA  LA BLANQUERA,N/A,2455,2053,2053,2027,26,N/A,5,1,1,1,18,1093,913
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA CONCENTRADA LA PALMA,N/A,515,437,437,426,11,N/A,1,1,0,0,3,140,282
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL BOLIVARIANO LUISA CACERES DE ARISMENDI,N/A,245,208,208,206,2,N/A,1,0,0,0,1,41,164
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA ESTADAL EL PENITENTE,N/A,142,116,116,112,4,N/A,1,0,0,0,1,17,94
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL SAN RAMON,N/A,718,636,636,630,6,N/A,2,0,0,0,5,164,461
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,UNIDAD GERIATRICA AGUSTIN CAPO BIANCO SANCHEZ,N/A,688,594,594,586,8,N/A,2,0,0,1,2,189,394
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL EL RETAZO,N/A,524,442,442,429,13,N/A,1,0,0,0,4,92,333
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL ESTADAL EZEQUIEL ZAMORA,N/A,359,323,323,314,9,N/A,1,0,0,0,2,51,261
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA GRANJA ANIBAL DOMINICI,N/A,374,329,329,321,8,N/A,1,0,0,0,4,172,145
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA TECNICA AGROPECUARIA  E INDUSTRIAL ROBINSONIANA Y ZAMORANA SIMON RODRIGUEZ,N/A,115,98,98,93,5,N/A,1,0,0,0,0,15,78
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,LICEO ELOY GUILLERMO GONZALEZ,N/A,2287,1959,1959,1925,34,N/A,4,0,0,0,11,1131,783
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  BASICA  JULIO ESCALONA,N/A,1866,1486,1486,1444,42,N/A,4,0,1,0,16,497,930
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA BOLIVARIANA IGINIO MORALES,N/A,2487,2076,2076,2048,28,N/A,5,3,2,0,9,1268,766
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA  BASICA  ELEAZAR ALMARAT,N/A,2068,1777,1777,1744,33,N/A,4,0,0,0,8,1062,674
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,CENTRO DE EDUCACION INICIAL FUNDACODULLEZ,N/A,294,260,260,257,3,N/A,1,0,0,0,1,69,187
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA BOLIVARIANA DOCTOR JOSE GREGORIO HERNANDEZ,N/A,334,284,284,280,4,N/A,1,0,0,0,1,26,253
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA ESTADAL CONCENTRADA VALLE HONDO,N/A,516,435,435,424,11,N/A,1,0,0,0,1,130,293
EDO. COJEDES,CE. EZEQUIEL ZAMORA,PQ. SAN CARLOS DE AUSTRIA,ESCUELA BASICA MONSEÑOR FRANCISCO MIGUEL SEIJAS,N/A,2975,2413,2413,2348,65,N/A,6,1,1,0,17,871,1458
